Frame,Height,pxDist,cmDist,gsdE,gsdT,predE,predT,errE2,errT2
51,23.41,221.0,174,0.786,0.781,173.70600000000002,172.601,0.08643599999998984,1.9572010000000026
52,23.41,228.97,174,0.786,0.781,179.97042000000002,178.82557,35.64591497640022,23.28612582489999
53,23.41,236.99,174,0.786,0.781,186.27414000000002,185.08919,150.65451273960042,122.97013485610005
54,23.41,232.99,174,0.786,0.781,183.13014,181.96519,83.3594564196002,63.44425173610011
55,23.41,242.98,174,0.786,0.781,190.98228,189.76738,288.3978339984001,248.61027206440008
56,23.41,219.98,174,0.786,0.781,172.90428,171.80438,1.2006023184,4.820747184399961
57,23.41,244.98,174,0.786,0.781,192.55428,191.32938,344.2613063184002,300.30741118439954
58,23.41,232.99,174,0.786,0.781,183.13014,181.96519,83.3594564196002,63.44425173610011
59,23.41,225.98,174,0.786,0.781,177.62028,176.49038,13.106427278400059,6.201992544399938
60,23.41,244.98,174,0.786,0.781,192.55428,191.32938,344.2613063184002,300.30741118439954
61,23.41,223.98,174,0.786,0.781,176.04828,174.92838,4.195450958400023,0.8618894244000078
62,23.41,241.98,174,0.786,0.781,190.19628,188.98638,262.31948583840006,224.59158550439992
63,23.41,226.97,174,0.786,0.781,178.39842000000002,177.26357000000002,19.34609849640014,10.650889144900102
64,23.4,231.98,174,0.786,0.781,182.33628,181.17638,69.4935642383998,51.50042990439992
65,23.4,221.99,174,0.786,0.781,174.48414000000002,173.37419000000003,0.2343915396000241,0.39163815609996605
66,23.4,215.98,174,0.786,0.781,169.76028,168.68037999999999,17.975225678400047,28.298356944400155
67,23.4,218.99,174,0.786,0.781,172.12614000000002,171.03119,3.511351299599922,8.813832816099945
